# time,start,start2,end,end2,size,value,value2
134868.420862,0,0,0,0,11,0,0
134868.421314,0,0,1,1,11,1,1
134868.421404,0,0,2,2,11,2,2
134868.421486,0,0,3,3,11,3,3
134868.421933,0,0,4,4,11,4,4
134868.422136,0,0,5,0,11,5,0
134868.422324,0,0,6,1,11,6,1
134868.422517,0,0,7,2,11,7,2
134868.422701,0,0,8,3,11,8,3
134868.422896,0,0,9,4,11,9,4
134868.423079,0,0,10,0,11,10,0
134868.423300,1,1,0,0,11,11,1
134868.423474,2,2,1,1,11,12,2
134868.423725,3,3,2,2,11,13,3
134868.423901,4,4,3,3,11,14,4
134868.424475,5,0,4,4,11,15,0
134868.424564,6,1,5,0,11,16,1
134868.424651,7,2,6,1,11,17,2
134868.424837,8,3,7,2,11,18,3
134868.425030,9,4,8,3,11,19,4
134868.425216,10,0,9,4,11,20,0
134868.425403,0,0,10,0,11,21,1
134868.425591,1,1,0,0,11,22,2
134868.425783,2,2,1,1,11,23,3
134868.425975,3,3,2,2,11,24,4
134868.426183,4,4,3,3,11,25,0
134868.426655,5,0,4,4,11,26,1
134868.426737,6,1,5,0,11,27,2
134868.426822,7,2,6,1,11,28,3
134868.427007,8,3,7,2,11,29,4
